ds,mtd,rev,type,ytd
2017-04-07,211,12,estate,10631
2017-04-07,59725,8437,income.withheld,1293904
2017-04-07,2857,735,income,33864
2017-04-07,86,17,railroad,3098
2017-04-07,100,51,excise,37755
2017-04-07,990,351,corporate,121513
2017-04-07,59,14,unemployment,3991
2017-04-07,1528,3,estate,2003
2012-01-05,172,45,estate,3252
2012-01-05,44168,8622,income.withheld,478100
2012-01-05,151,44,income,2583
2012-01-05,55,1,railroad,1120
2012-01-05,46,10,excise,17267
2012-01-05,198,55,corporate,66410
2012-01-05,23,8,unemployment,647
2012-01-05,20,2,estate,119
2016-07-21,1230,127,estate,17597
2016-07-21,135144,2694,income.withheld,1861483
2016-07-21,1425,70,income,103859
2016-07-21,345,8,railroad,4806
2016-07-21,3817,47,excise,62898
2016-07-21,8810,19,corporate,264898
2016-07-21,93,6,unemployment,7784
2016-07-21,43,2,estate,1109
2012-11-05,2,0,estate,849
2012-11-05,30253,9890,income.withheld,182744
2012-11-05,74,31,income,1512
2012-11-05,48,31,railroad,461
2012-11-05,39,13,excise,6406
2012-11-05,180,15,corporate,8896
2012-11-05,13,2,unemployment,532
2012-11-05,10,1,estate,28
2015-07-30,1385,88,estate,16239
2015-07-30,169509,3047,income.withheld,1833234
2015-07-30,1707,45,income,89898
2015-07-30,503,2,railroad,5396
2015-07-30,7351,181,excise,67195
2015-07-30,11699,23,corporate,298365
2015-07-30,245,53,unemployment,8518
2015-07-30,40,1,estate,1313
2014-02-26,1049,81,estate,7673
2014-02-26,163190,7868,income.withheld,859074
2014-02-26,831,59,income,11146
2014-02-26,589,16,railroad,2310
2014-02-26,3973,411,excise,28713
2014-02-26,8304,58,corporate,96765
2014-02-26,306,6,unemployment,4409
2014-02-26,51,1,estate,275
2011-11-14,432,42,estate,1435
2011-11-14,64063,13987,income.withheld,201634
2011-11-14,167,23,income,1205
2011-11-14,153,49,railroad,547
2011-11-14,3153,2232,excise,7763
2011-11-14,681,283,corporate,10663
2011-11-14,32,3,unemployment,555
2011-11-14,15,1,estate,28
2012-06-28,885,27,estate,10575
2012-06-28,131994,2703,income.withheld,1340874
2012-06-28,3675,40,income,34721
2012-06-28,340,5,railroad,3319
2012-06-28,4441,240,excise,53355
2012-06-28,57595,26,corporate,204691
2012-06-28,58,2,unemployment,6392
2012-06-28,36,1,estate,450
2011-09-12,62,1,estate,7112
2011-09-12,56141,9853,income.withheld,1647109
2011-09-12,370,110,income,28647
2011-09-12,143,39,railroad,4516
2011-09-12,515,317,excise,63467
2011-09-12,1842,994,corporate,197343
2011-09-12,10,1,unemployment,7041
2011-09-12,31,-54,estate,2203
2014-12-26,1332,63,estate,4405
2014-12-26,175835,8392,income.withheld,507935
2014-12-26,1583,45,income,5858
2014-12-26,374,4,railroad,1356
2014-12-26,4259,604,excise,16798
2014-12-26,85288,55,corporate,102030
2014-12-26,47,4,unemployment,701
2014-12-26,464,1,estate,678
2011-01-14,109,2,estate,1040
2011-01-14,74448,6091,income.withheld,514565
2011-01-14,987,490,income,2695
2011-01-14,162,17,railroad,1297
2011-01-14,2653,1908,excise,19046
2011-01-14,3503,2183,corporate,63544
2011-01-14,81,20,unemployment,821
2011-01-14,22,0,estate,158
2010-04-02,165,72,estate,8375
2010-04-02,22153,7407,income.withheld,874329
2010-04-02,165,42,income,4397
2010-04-02,26,16,railroad,2344
2010-04-02,13,11,excise,32016
2010-04-02,407,323,corporate,109916
2010-04-02,18,9,unemployment,1968
2010-04-02,2,2,estate,1909
2013-07-12,618,16,estate,16040
2013-07-12,74500,4864,income.withheld,1552180
2013-07-12,304,38,income,50338
2013-07-12,211,13,railroad,4223
2013-07-12,3223,2284,excise,61176
2013-07-12,1827,1166,corporate,236025
2013-07-12,44,8,unemployment,7488
2013-07-12,96,2,estate,624
2016-04-20,1422,184,estate,11820
2016-04-20,134732,9446,income.withheld,1312182
2016-04-20,59077,6158,income,86934
2016-04-20,305,3,railroad,3320
2016-04-20,3648,41,excise,42116
2016-04-20,39097,64,corporate,185885
2016-04-20,228,29,unemployment,4465
2016-04-20,111,1,estate,608
2012-12-04,113,69,estate,2324
2012-12-04,25734,2785,income.withheld,318542
2012-12-04,64,23,income,2023
2012-12-04,62,7,railroad,803
2012-12-04,24,10,excise,13064
2012-12-04,115,56,corporate,13421
2012-12-04,7,6,unemployment,593
2012-12-04,2,1,estate,63
2014-01-27,1004,117,estate,6360
2014-01-27,161496,13738,income.withheld,672398
2014-01-27,6162,51,income,10173
2014-01-27,418,43,railroad,1643
2014-01-27,3629,327,excise,22005
2014-01-27,10210,42,corporate,88204
2014-01-27,400,44,unemployment,1079
2014-01-27,29,3,estate,218
2011-12-15,368,19,estate,2456
2011-12-15,74689,6853,income.withheld,346346
2011-12-15,367,109,income,1828
2011-12-15,173,11,railroad,901
2011-12-15,3075,104,excise,14337
2011-12-15,48166,40735,corporate,62256
2011-12-15,18,3,unemployment,590
2011-12-15,49,0,estate,89
2012-05-29,785,37,estate,9520
2012-05-29,132082,11949,income.withheld,1197954
2012-05-29,682,45,income,30996
2012-05-29,320,33,railroad,2940
2012-05-29,6617,2357,excise,48854
2012-05-29,7615,424,corporate,146902
2012-05-29,143,3,unemployment,6327
2012-05-29,23,3,estate,410
2011-02-15,94,21,estate,1271
2011-02-15,76241,4741,income.withheld,669225
2011-02-15,218,43,income,4341
2011-02-15,263,3,railroad,1822
2011-02-15,2769,25,excise,24514
2011-02-15,3131,2219,corporate,71945
2011-02-15,214,7,unemployment,2039
2011-02-15,32,-1,estate,218
2011-05-05,56,30,estate,6325
2011-05-05,36605,1935,income.withheld,1074980
2011-05-05,103,24,income,24032
2011-05-05,77,1,railroad,2884
2011-05-05,178,12,excise,39350
2011-05-05,356,98,corporate,126898
2011-05-05,2499,6,unemployment,5868
2011-05-05,15,4,estate,1946
2010-10-13,201,16,estate,201
2010-10-13,58693,2722,income.withheld,58693
2010-10-13,172,36,income,172
2010-10-13,173,4,railroad,173
2010-10-13,328,185,excise,328
2010-10-13,1113,189,corporate,1113
2010-10-13,31,5,unemployment,31
2010-10-13,12,2,estate,12
2017-06-26,1130,21,estate,16058
2017-06-26,171915,14177,income.withheld,1794152
2017-06-26,13247,192,income,111265
2017-06-26,426,43,railroad,4429
2017-06-26,4011,91,excise,55284
2017-06-26,59313,32,corporate,246107
2017-06-26,46,2,unemployment,7463
2017-06-26,44,6,estate,2388
2016-03-30,1617,100,estate,10391
2016-03-30,211559,7511,income.withheld,1172334
2016-03-30,4019,181,income,27576
2016-03-30,486,4,railroad,2962
2016-03-30,6508,123,excise,38554
2016-03-30,38209,66,corporate,146671
2016-03-30,87,6,unemployment,4229
2016-03-30,52,1,estate,485
2011-12-28,758,25,estate,2846
2011-12-28,142701,3717,income.withheld,414358
2011-12-28,862,49,income,2323
2011-12-28,314,3,railroad,1042
2011-12-28,3948,463,excise,15209
2011-12-28,51011,100,corporate,65101
2011-12-28,39,3,unemployment,611
2011-12-28,58,0,estate,97
2013-10-02,151,56,estate,151
2013-10-02,25162,10339,income.withheld,25162
2013-10-02,99,34,income,99
2013-10-02,43,10,railroad,43
2013-10-02,267,231,excise,267
2013-10-02,99,43,corporate,99
2013-10-02,7,4,unemployment,7
2013-10-02,4,1,estate,4
2011-02-28,197,21,estate,1374
2011-02-28,144891,15087,income.withheld,737875
2011-02-28,482,72,income,4604
2011-02-28,487,89,railroad,2047
2011-02-28,4368,928,excise,26113
2011-02-28,3792,116,corporate,72607
2011-02-28,253,9,unemployment,2077
2011-02-28,73,3,estate,259
2012-05-14,436,85,estate,9172
2012-05-14,68648,10662,income.withheld,1134520
2012-05-14,335,47,income,30649
2012-05-14,166,37,railroad,2786
2012-05-14,3285,2314,excise,45522
2012-05-14,873,531,corporate,140161
2012-05-14,105,5,unemployment,6289
2012-05-14,13,2,estate,400
2015-10-20,1134,97,estate,1134
2015-10-20,116058,1660,income.withheld,116058
2015-10-20,3537,119,income,3537
2015-10-20,310,1,railroad,310
2015-10-20,1503,42,excise,1503
2015-10-20,9499,63,corporate,9499
2015-10-20,66,5,unemployment,66
2015-10-20,95,1,estate,95
2010-03-12,549,28,estate,7472
2010-03-12,76841,5639,income.withheld,764140
2010-03-12,354,81,income,3723
2010-03-12,183,11,railroad,2069
2010-03-12,3586,1871,excise,29131
2010-03-12,5855,3320,corporate,85446
2010-03-12,46,2,unemployment,1891
2010-03-12,1574,6,estate,1886
2015-08-26,1058,45,estate,17351
2015-08-26,150966,7623,income.withheld,1994025
2015-08-26,1283,65,income,91229
2015-08-26,427,15,railroad,5888
2015-08-26,4725,449,excise,72448
2015-08-26,4455,74,corporate,302900
2015-08-26,50,2,unemployment,9190
2015-08-26,38,1,estate,1351
2011-11-29,1005,45,estate,2007
2011-11-29,126670,1982,income.withheld,264242
2011-11-29,405,17,income,1443
2011-11-29,323,3,railroad,716
2011-11-29,6498,2227,excise,11108
2011-11-29,3580,62,corporate,13561
2011-11-29,47,1,unemployment,570
2011-11-29,25,2,estate,39
2016-10-31,1295,50,estate,1295
2016-10-31,182827,16272,income.withheld,182827
2016-10-31,4965,103,income,4965
2016-10-31,481,70,railroad,481
2016-10-31,5466,531,excise,5466
2016-10-31,9933,32,corporate,9933
2016-10-31,643,471,unemployment,643
2016-10-31,54,2,estate,54
2012-06-15,424,60,estate,10114
2012-06-15,75196,8245,income.withheld,1284075
2012-06-15,3201,1612,income,34247
2012-06-15,170,12,railroad,3150
2012-06-15,3433,79,excise,52347
2012-06-15,56681,46163,corporate,203777
2012-06-15,37,5,unemployment,6370
2012-06-15,11,1,estate,425
2012-10-25,837,4,estate,837
2012-10-25,122533,1813,income.withheld,122533
2012-10-25,1331,27,income,1331
2012-10-25,325,33,railroad,325
2012-10-25,3242,471,excise,3242
2012-10-25,8607,23,corporate,8607
2012-10-25,89,6,unemployment,89
2012-10-25,17,0,estate,17
2017-03-17,1168,156,estate,9506
2017-03-17,157329,6650,income.withheld,1156650
2017-03-17,2286,174,income,28678
2017-03-17,328,16,railroad,2784
2017-03-17,4203,15,excise,34356
2017-03-17,16031,118,corporate,118129
2017-03-17,51,3,unemployment,3879
2017-03-17,34,1,estate,423
2016-06-01,73,73,estate,15010
2016-06-01,17602,17602,income.withheld,1563325
2016-06-01,139,139,income,91237
2016-06-01,13,13,railroad,4020
2016-06-01,12,12,excise,52428
2016-06-01,59,59,corporate,193397
2016-06-01,4,4,unemployment,7598
2016-06-01,1,1,estate,722
2011-07-19,110,8,estate,6779
2011-07-19,89439,1293,income.withheld,1405706
2011-07-19,293,24,income,27664
2011-07-19,255,0,railroad,3823
2011-07-19,3180,11,excise,54273
2011-07-19,7531,37,corporate,191372
2011-07-19,87,6,unemployment,6072
2011-07-19,99,41,estate,2153
2012-08-23,1154,18,estate,12839
2012-08-23,113060,2012,income.withheld,1604981
2012-08-23,431,17,income,35774
2012-08-23,273,1,railroad,4035
2012-08-23,3721,42,excise,66265
2012-08-23,4369,26,corporate,217850
2012-08-23,60,1,unemployment,7212
2012-08-23,22,3,estate,509
2015-06-10,509,73,estate,14131
2015-06-10,75053,7238,income.withheld,1558737
2015-06-10,1267,322,income,79162
2015-06-10,218,52,railroad,4551
2015-06-10,747,571,excise,53742
2015-06-10,1723,657,corporate,213467
2015-06-10,24,3,unemployment,8233
2015-06-10,29,2,estate,1209
2014-03-06,344,195,estate,8115
2014-03-06,53220,3585,income.withheld,926202
2014-03-06,453,34,income,11849
2014-03-06,106,8,railroad,2458
2014-03-06,52,12,excise,31081
2014-03-06,271,60,corporate,97221
2014-03-06,17,3,unemployment,4434
2014-03-06,10,2,estate,289
2017-08-10,357,61,estate,18349
2017-08-10,66821,2257,income.withheld,2079503
2017-08-10,753,91,income,114883
2017-08-10,134,44,railroad,5153
2017-08-10,945,587,excise,67143
2017-08-10,333,66,corporate,257081
2017-08-10,38,2,unemployment,8368
2017-08-10,17,1,estate,2501
2010-09-08,268,51,estate,17127
2010-09-08,41974,3046,income.withheld,1571445
2010-09-08,103,13,income,16284
2010-09-08,67,2,railroad,4353
2010-09-08,511,38,excise,63414
2010-09-08,682,193,corporate,220135
2010-09-08,9,2,unemployment,6697
2010-09-08,18,13,estate,2198
2011-04-18,997,272,estate,2577
2011-04-18,94477,19259,income.withheld,994434
2011-04-18,12090,5472,income,17824
2011-04-18,236,66,railroad,2684
2011-04-18,3114,14,excise,36071
2011-04-18,29805,10048,corporate,125884
2011-04-18,212,27,unemployment,2382
2011-04-18,1761,149,estate,2069
2017-10-16,867,110,estate,867
2017-10-16,118339,25305,income.withheld,118339
2017-10-16,2417,665,income,2417
2017-10-16,289,74,railroad,289
2017-10-16,3238,42,excise,3238
2017-10-16,9127,6261,corporate,9127
2017-10-16,58,8,unemployment,58
2017-10-16,23,1,estate,23
2010-06-23,1028,84,estate,13783
2010-06-23,115244,5837,income.withheld,1233576
2010-06-23,1717,13,income,15413
2010-06-23,341,34,railroad,3398
2010-06-23,3570,16,excise,47476
2010-06-23,54570,171,corporate,204165
2010-06-23,50,3,unemployment,5643
2010-06-23,50,2,estate,2059
2013-09-19,706,214,estate,18981
2013-09-19,111197,1844,income.withheld,1908695
2013-09-19,4997,62,income,56599
2013-09-19,262,0,railroad,5170
2013-09-19,3901,22,excise,76054
2013-09-19,57344,80,corporate,305483
2013-09-19,177,1,unemployment,8490
2013-09-19,22,1,estate,756
2014-10-07,297,41,estate,297
2014-10-07,48126,1666,income.withheld,48126
2014-10-07,437,76,income,437
2014-10-07,101,2,railroad,101
2014-10-07,123,21,excise,123
2014-10-07,350,76,corporate,350
2014-10-07,23,3,unemployment,23
2014-10-07,14,1,estate,14
2012-04-09,271,30,estate,6483
2012-04-09,54367,9957,income.withheld,971680
2012-04-09,1165,272,income,9159
2012-04-09,84,12,railroad,2350
2012-04-09,127,71,excise,35155
2012-04-09,630,81,corporate,107512
2012-04-09,66,11,unemployment,3317
2012-04-09,9,2,estate,322
2014-08-01,88,88,estate,15764
2014-08-01,19198,19198,income.withheld,1761551
2014-08-01,152,152,income,63123
2014-08-01,19,19,railroad,4872
2014-08-01,43,43,excise,65676
2014-08-01,102,102,corporate,264978
2014-08-01,14,14,unemployment,8667
2014-08-01,1,1,estate,493
2015-05-11,828,98,estate,12725
2015-05-11,73053,13718,income.withheld,1387614
2015-05-11,595,92,income,76715
2015-05-11,258,61,railroad,4041
2015-05-11,386,97,excise,46138
2015-05-11,383,79,corporate,202766
2015-05-11,75,5,unemployment,8147
2015-05-11,39,2,estate,1127
2017-05-03,251,84,estate,13260
2017-05-03,47232,11199,income.withheld,1471919
2017-05-03,498,129,income,95679
2017-05-03,87,3,railroad,3553
2017-05-03,232,23,excise,44778
2017-05-03,98,32,corporate,175885
2017-05-03,2488,9,unemployment,7344
2017-05-03,12,5,estate,2254
2015-07-29,1297,73,estate,16150
2015-07-29,166462,6840,income.withheld,1830187
2015-07-29,1662,51,income,89853
2015-07-29,501,6,railroad,5394
2015-07-29,7170,2090,excise,67014
2015-07-29,11677,49,corporate,298343
2015-07-29,192,24,unemployment,8465
2015-07-29,39,1,estate,1312
2013-03-27,961,133,estate,6538
2013-03-27,172768,7383,income.withheld,987331
2013-03-27,1402,74,income,9867
2013-03-27,428,3,railroad,2593
2013-03-27,4909,397,excise,35143
2013-03-27,32735,25,corporate,121214
2013-03-27,86,5,unemployment,3961
2013-03-27,43,2,estate,244
2011-06-20,87,3,estate,6615
2011-06-20,97224,9242,income.withheld,1275726
2011-06-20,2638,56,income,27183
2011-06-20,226,25,railroad,3458
2011-06-20,3261,-2,excise,48054
2011-06-20,48969,118,corporate,183186
2011-06-20,35,2,unemployment,5964
2011-06-20,117,-141,estate,2092
2014-05-12,750,159,estate,11788
2014-05-12,71042,12975,income.withheld,1315590
2014-05-12,434,82,income,53679
2014-05-12,224,57,railroad,3579
2014-05-12,846,476,excise,45153
2014-05-12,468,61,corporate,174987
2014-05-12,84,4,unemployment,7688
2014-05-12,16,1,estate,403
2017-06-02,191,124,estate,15119
2017-06-02,33804,12885,income.withheld,1656041
2017-06-02,290,137,income,98308
2017-06-02,33,23,railroad,4037
2017-06-02,34,22,excise,51307
2017-06-02,210,166,corporate,187004
2017-06-02,6,3,unemployment,7423
2017-06-02,5,2,estate,2348
2016-03-14,584,48,estate,9358
2016-03-14,110756,23121,income.withheld,1071531
2016-03-14,1416,140,income,24972
2016-03-14,261,66,railroad,2737
2016-03-14,3087,1969,excise,35133
2016-03-14,11891,8120,corporate,120353
2016-03-14,40,4,unemployment,4181
2016-03-14,28,1,estate,462
2015-04-28,3060,171,estate,11753
2015-04-28,166433,1712,income.withheld,1302966
2015-04-28,55269,153,income,75919
2015-04-28,474,6,railroad,3758
2015-04-28,5071,409,excise,43352
2015-04-28,44645,32,corporate,202159
2015-04-28,483,67,unemployment,5360
2015-04-28,240,1,estate,1078
2013-08-20,1038,41,estate,17926
2013-08-20,108810,1798,income.withheld,1751706
2013-08-20,471,45,income,51303
2013-08-20,257,3,railroad,4769
2013-08-20,3705,29,excise,68685
2013-08-20,3686,26,corporate,246973
2013-08-20,48,2,unemployment,8271
2013-08-20,59,11,estate,720
2012-05-30,829,44,estate,9564
2012-05-30,135587,3504,income.withheld,1201459
2012-05-30,715,32,income,31029
2012-05-30,324,4,railroad,2944
2012-05-30,6665,48,excise,48902
2012-05-30,7716,101,corporate,147003
2012-05-30,146,3,unemployment,6331
2012-05-30,23,1,estate,410
2010-08-31,1320,71,estate,16859
2010-08-31,135483,3097,income.withheld,1529470
2010-08-31,344,18,income,16182
2010-08-31,426,36,railroad,4287
2010-08-31,6421,144,excise,62903
2010-08-31,4645,1001,corporate,219453
2010-08-31,613,2,unemployment,6688
2010-08-31,72,1,estate,2179
2015-03-05,348,128,estate,7453
2015-03-05,55211,3029,income.withheld,973881
2015-03-05,638,-23,income,17704
2015-03-05,127,1,railroad,2782
2015-03-05,75,14,excise,31977
2015-03-05,444,94,corporate,118624
2015-03-05,21,3,unemployment,4791
2015-03-05,22,14,estate,794
2014-06-13,638,28,estate,13533
2014-06-13,81143,7059,income.withheld,1487938
2014-06-13,3254,1488,income,57873
2014-06-13,234,20,railroad,4068
2014-06-13,3390,2271,excise,54549
2014-06-13,18789,13952,corporate,202317
2014-06-13,34,5,unemployment,7792
2014-06-13,14,1,estate,441
2017-09-29,1662,66,estate,21207
2017-09-29,186621,9096,income.withheld,2389684
2017-09-29,14516,149,income,131083
2017-09-29,444,34,railroad,5943
2017-09-29,11210,4487,excise,84664
2017-09-29,64866,138,corporate,324755
2017-09-29,44,3,unemployment,8474
2017-09-29,58,2,estate,2897
2016-12-09,484,50,estate,3347
2016-12-09,65527,7116,income.withheld,427118
2016-12-09,850,182,income,7645
2016-12-09,148,48,railroad,1014
2016-12-09,284,194,excise,12627
2016-12-09,1478,753,corporate,15052
2016-12-09,26,2,unemployment,718
2016-12-09,14,1,estate,116
2010-06-07,257,60,estate,13012
2010-06-07,47551,8722,income.withheld,1165883
2010-06-07,98,25,income,13794
2010-06-07,120,36,railroad,3177
2010-06-07,59,15,excise,43965
2010-06-07,382,56,corporate,149977
2010-06-07,18,3,unemployment,5611
2010-06-07,11,1,estate,2020
2011-03-11,81,9,estate,1455
2011-03-11,68265,6301,income.withheld,806140
2011-03-11,408,27,income,5012
2011-03-11,155,20,railroad,2202
2011-03-11,1971,178,excise,28084
2011-03-11,2731,902,corporate,75338
2011-03-11,33,3,unemployment,2111
2011-03-11,20,-2,estate,277
2014-10-23,1040,77,estate,1040
2014-10-23,129613,2377,income.withheld,129613
2014-10-23,2741,39,income,2741
2014-10-23,317,1,railroad,317
2014-10-23,1447,32,excise,1447
2014-10-23,11093,30,corporate,11093
2014-10-23,89,5,unemployment,89
2014-10-23,30,1,estate,30
2016-02-09,343,72,estate,7688
2016-02-09,76191,1768,income.withheld,829623
2016-02-09,567,81,income,22003
2016-02-09,252,31,railroad,2062
2016-02-09,447,171,excise,26118
2016-02-09,525,67,corporate,104000
2016-02-09,2370,11,unemployment,4061
2016-02-09,30,2,estate,352
2014-08-25,900,48,estate,16577
2014-08-25,140983,12561,income.withheld,1883336
2014-08-25,903,96,income,63874
2014-08-25,408,74,railroad,5261
2014-08-25,4150,165,excise,69782
2014-08-25,4321,83,corporate,269198
2014-08-25,53,2,unemployment,8706
2014-08-25,55,17,estate,548
2015-02-18,657,52,estate,6734
2015-02-18,130382,4682,income.withheld,862301
2015-02-18,936,156,income,16510
2015-02-18,484,3,railroad,2433
2015-02-18,3455,24,excise,28840
2015-02-18,4088,85,corporate,117807
2015-02-18,2843,6,unemployment,4737
2015-02-18,46,1,estate,763
2016-05-24,1223,41,estate,14671
2016-05-24,152425,1609,income.withheld,1512226
2016-05-24,2132,74,income,90730
2016-05-24,373,0,railroad,3858
2016-05-24,3662,73,excise,49364
2016-05-24,6735,74,corporate,193095
2016-05-24,2387,3,unemployment,7580
2016-05-24,85,0,estate,708
2015-12-18,1039,62,estate,4835
2015-12-18,130165,11776,income.withheld,476140
2015-12-18,1748,114,income,7415
2015-12-18,251,10,railroad,1164
2015-12-18,3351,37,excise,15976
2015-12-18,76180,2155,corporate,92282
2015-12-18,70,3,unemployment,747
2015-12-18,31,0,estate,248
2010-05-06,271,76,estate,11751
2010-05-06,36651,2291,income.withheld,1028225
2010-05-06,76,12,income,13261
2010-05-06,79,9,railroad,2769
2010-05-06,50,17,excise,38232
2010-05-06,185,89,corporate,141995
2010-05-06,78,9,unemployment,5509
2010-05-06,10,5,estate,1981
2016-11-08,459,101,estate,1754
2016-11-08,56728,2109,income.withheld,239555
2016-11-08,500,75,income,5465
2016-11-08,77,1,railroad,558
2016-11-08,156,25,excise,5622
2016-11-08,247,53,corporate,10181
2016-11-08,22,2,unemployment,665
2016-11-08,28,13,estate,82
2011-08-16,100,4,estate,6953
2011-08-16,85146,7870,income.withheld,1533631
2011-08-16,238,23,income,28054
2011-08-16,247,31,railroad,4194
2011-08-16,2913,11,excise,60108
2011-08-16,2923,181,corporate,194837
2011-08-16,627,2,unemployment,7015
2011-08-16,69,8,estate,2163
2016-01-08,422,148,estate,6495
2016-01-08,67313,6650,income.withheld,629630
2016-01-08,1527,278,income,10491
2016-01-08,112,60,railroad,1471
2016-01-08,202,139,excise,19387
2016-01-08,316,49,corporate,94979
2016-01-08,56,13,unemployment,848
2016-01-08,12,1,estate,298
2012-10-01,23,23,estate,23
2012-10-01,22427,22427,income.withheld,22427
2012-10-01,45,45,income,45
2012-10-01,62,62,railroad,62
2012-10-01,1606,1606,excise,1606
2012-10-01,31,31,corporate,31
2012-10-01,3,3,unemployment,3
2012-10-01,2,2,estate,2
2015-11-19,1148,88,estate,3218
2015-11-19,121196,2111,income.withheld,290211
2015-11-19,1033,43,income,5169
2015-11-19,292,0,railroad,751
2015-11-19,4138,22,excise,9425
2015-11-19,4935,65,corporate,14925
2015-11-19,405,1,unemployment,663
2015-11-19,42,1,estate,204
2013-05-17,946,95,estate,13600
2013-05-17,101769,5318,income.withheld,1266502
2013-05-17,696,34,income,44779
2013-05-17,270,12,railroad,3380
2013-05-17,3410,21,excise,47769
2013-05-17,7279,34,corporate,169841
2013-05-17,117,4,unemployment,7101
